No,kelas,kategori,target_bulan,materi
352,SMA 3,Materi Dasar Keagamaan,Mei,Hukum Mahram
353,SMA 3,Materi Dasar Keagamaan,Agustus,"Ilmu Manqul, Musnad, Muttashil"
354,SMA 3,Tulis Huruf Arab,Januari,Juz 14
355,SMA 3,Tulis Huruf Arab,Februari - Maret,Juz 15
356,SMA 3,Tulis Huruf Arab,April,Juz15
357,SMA 3,Tulis Huruf Arab,November - Desember,K. Manasik Waljihad
358,SMA 3,Tulis Huruf Arab,Mei - Juni,K. Shoum
359,SMA 3,Materi Dasar Keagamaan,April,Kefadholan puasa dan hal-hal yang diperbolehkan serta membatalkan puasa
360,SMA 3,Akhlaq,September - Oktober,Keluarga
361,SMA 3,Mandiri,September,Kemandirian dalam keluarga
362,SMA 3,Mandiri,Maret,Kemandirian dalam keluarga
363,SMA 3,Mandiri,Juli,Kemandirian pribadi
364,SMA 3,Mandiri,Januari,Kemandirian pribadi
365,SMA 3,Materi Dasar Keagamaan,September,Kemurnian ibadah
366,SMA 3,Mandiri,Oktober,Keterampilan Generus Putra
367,SMA 3,Mandiri,April,Keterampilan Generus Putra
368,SMA 3,Mandiri,November - Desember,Keterampilan Generus Putri
369,SMA 3,Mandiri,Mei - Juni,Keterampilan Generus Putri
370,SMA 3,Adab/ Tatakrama,Februari,Ketika Bersin
371,SMA 3,Adab/ Tatakrama,Oktober,Ketika Di Masjid
372,SMA 3,Adab/ Tatakrama,Oktober,Ketika Di Tempat Pengajian Dan Sekolah
373,SMA 3,Adab/ Tatakrama,Februari,Ketika Menguap
374,SMA 3,Akhlaq,April - Juni,Lingkungan dan alam sekitar
375,SMA 3,Tulis Huruf Arab,Juli,Makna Juz 13
376,SMA 3,Tulis Huruf Arab,September - Oktober,Makna Juz 14
377,SMA 3,Tulis Huruf Arab,Agustus,Makna Juz13
378,SMA 3,Materi Dasar Keagamaan,Januari,Mandi Junub
379,SMA 3,Akhlaq,Januari - Maret,Masyarakat
380,SMA 3,Praktik Ibadah,Oktober - Desember,Mempraktikkan doa-doa yang telah dihafal
381,SMA 3,Praktik Ibadah,April - Juni,Mempraktikkan doa-doa yang telah dihafal
382,SMA 3,Praktik Ibadah,Juli - September,Mempraktikkan puasa sunah
383,SMA 3,Praktik Ibadah,Januari - Maret,Mempraktikkan puasa sunah
384,SMA 3,Hafalan Surat Al Qur'an,Juli - Agustus,Menderes hafalan Qur’an
385,SMA 3,Hafalan Surat Al Qur'an,Januari - Februari,Menderes hafalan Qur’an
386,SMA 3,Baca Huruf Quran,Juli - Juni,Menderes Harian
387,SMA 3,Hafalan Doa Harian,Juli - Juni,menerampilkan hafalan do'a pada jenjang sebelumnya
388,SMA 3,Adab/ Tatakrama,Agustus,Menghormati guru dan mubaligh-mubalighot
389,SMA 3,Adab/ Tatakrama,Juli,Menghormati yang lebih tua dan menyayangi yang muda
390,SMA 3,Materi Dasar Keagamaan,Agustus,Pengertian Qur’an Hadits Jama’ah
391,SMA 3,Materi Dasar Keagamaan,November,Pengetahuan hukum halal-haram
392,SMA 3,Materi Dasar Keagamaan,Oktober,Pengetahuan wajibnya taat dan haromnya maksiat
393,SMA 3,Akhlaq,Juli - Agustus,Pribadi
394,SMA 3,Materi Dasar Keagamaan,April,Puasa Romadlon
395,SMA 3,Materi Dasar Keagamaan,Mei,Puasa Sunnah
396,SMA 3,Materi Dasar Keagamaan,Juli,"Rukun iman, rukun islam dan ihsan"
397,SMA 3,Materi Dasar Keagamaan,Maret,"Sholat sunnah rowatib, dhuha, tahajjud dan tasbih"
398,SMA 3,Adab/ Tatakrama,Juli,Ta'dhim dan berbuat baik kepada orang tua
399,SMA 3,Adab/ Tatakrama,April,Tata krama bersepeda
400,SMA 3,Adab/ Tatakrama,Mei,Tata krama ketika makan bersama
401,SMA 3,Adab/ Tatakrama,Juni,Tata krama mencari ilmu
402,SMA 3,Adab/ Tatakrama,Maret,Terhadap Kerabat
403,SMA 3,Adab/ Tatakrama,November,Terhadap Lingkungan Dan Alam Sekitar
404,SMA 3,Adab/ Tatakrama,Maret,Terhadap Tetangga
405,SMA 3,Adab/ Tatakrama,November,Terhadap Ulil Amri
406,SMA 3,Materi Dasar Keagamaan,Desember,Thaharah dan Sholat
407,SMA 3,Adab/ Tatakrama,Januari,Tidur
408,SMA 3,Akhlaq,November - Desember,"Ulil Amri, Guru, dan Mubaligh-Mubalighot"
409,Pra Nikah 1,Materi Dasar Keagamaan,Juni,Aurat
410,Pra Nikah 1,Adab/ Tatakrama,September,Bergaul dengan teman
411,Pra Nikah 1,Adab/ Tatakrama,Januari,Berpakaian
412,Pra Nikah 1,Adab/ Tatakrama,Desember,Bertamu/Diajak Bertamu Dan Kedatangan Tamu
413,Pra Nikah 1,Adab/ Tatakrama,Juni,Dalam bermasyarakat
414,Pra Nikah 1,Adab/ Tatakrama,Mei,Dalam kehidupan berumah tangga
415,Pra Nikah 1,Mandiri,Agustus,Dalam Keluarga
416,Pra Nikah 1,Mandiri,Februari,Dalam Keluarga
417,Pra Nikah 1,Adab/ Tatakrama,Juni,Dalam lingkungan kerja
418,Pra Nikah 1,Materi Dasar Keagamaan,Juli,Dasar Aqidah
419,Pra Nikah 1,Materi Dasar Keagamaan,Februari,"Hukum haid, mani, madzi dan wadhi"
420,Pra Nikah 1,Materi Dasar Keagamaan,Mei,Hukum Mahram
421,Pra Nikah 1,Materi Dasar Keagamaan,Agustus,"Ilmu Manqul, Musnad, Muttashil"
422,Pra Nikah 1,Tulis Huruf Arab,Juli - Oktober,Juz 1 – 2
423,Pra Nikah 1,Tulis Huruf Arab,Januari - April,Juz 2 – 3
424,Pra Nikah 1,Tulis Huruf Arab,November - Desember,K. Manasikil Haji (113)
425,Pra Nikah 1,Tulis Huruf Arab,Mei - Juni,K. Nikah
426,Pra Nikah 1,Materi Dasar Keagamaan,April,Kefadholan puasa dan hal-hal yang diperbolehkan serta membatalkan puasa
427,Pra Nikah 1,Akhlaq,September - Oktober,Keluarga
428,Pra Nikah 1,Mandiri,September,Kemandirian dalam keluarga
429,Pra Nikah 1,Mandiri,Maret,Kemandirian dalam keluarga
430,Pra Nikah 1,Mandiri,Juli,Kemandirian pribadi
431,Pra Nikah 1,Mandiri,Januari,Kemandirian pribadi
432,Pra Nikah 1,Materi Dasar Keagamaan,September,Kemurnian ibadah
433,Pra Nikah 1,Mandiri,Oktober,Keterampilan Generus Putra
434,Pra Nikah 1,Mandiri,April,Keterampilan Generus Putra
435,Pra Nikah 1,Mandiri,November - Desember,Keterampilan Generus Putri
436,Pra Nikah 1,Mandiri,Mei - Juni,Keterampilan Generus Putri
437,Pra Nikah 1,Adab/ Tatakrama,Februari,Ketika Bersin
438,Pra Nikah 1,Adab/ Tatakrama,Oktober,Ketika Di Masjid
439,Pra Nikah 1,Adab/ Tatakrama,Oktober,Ketika Di Tempat Pengajian Dan Sekolah
440,Pra Nikah 1,Adab/ Tatakrama,Februari,Ketika Menguap
441,Pra Nikah 1,Akhlaq,April - Juni,Lingkungan dan alam sekitar
442,Pra Nikah 1,Materi Dasar Keagamaan,Januari,Mandi Junub
443,Pra Nikah 1,Akhlaq,Januari - Maret,Masyarakat
444,Pra Nikah 1,Praktik Ibadah,Juli - September,Mempraktikan sholat hajat
445,Pra Nikah 1,Praktik Ibadah,Januari - Maret,Mempraktikan sholat hajat
446,Pra Nikah 1,Praktik Ibadah,Oktober - Desember,Mempraktikan sholat istikhoroh
447,Pra Nikah 1,Praktik Ibadah,April - Juni,Mempraktikan sholat istikhoroh
448,Pra Nikah 1,Baca Huruf Quran,Juli - Desember,Menderes Juz 19-20
449,Pra Nikah 1,Baca Huruf Quran,Januari - Juni,Menderes Juz 21-22
450,Pra Nikah 1,Hafalan Surat Al Qur'an,Januari - Juni,Menderes: 1. Surah Al-Fil 2. Surah Al-Humazah 3. Surah Al-'Asr 4. At-Takasur 5. Surah Al-Qari'ah 6. Al-'Adiyat 7. Surah Az-Zalzalah
451,Pra Nikah 1,Hafalan Surat Al Qur'an,Juli - Desember,Menderes: Surah An-Nas 1. Surah Al-Falaq 2. Surah Al-Ikhlas 3. Surah Al-Lahab 4. Surah An-Nasr 5. Al-Kafirun 6. Surah Al-Kausar 7. Surah Al-Ma’un 8. Surah Quraisy
452,Pra Nikah 1,Hafalan Doa Harian,Juli - Juni,menerampilkan hafalan do'a pada jenjang sebelumnya
453,Pra Nikah 1,Adab/ Tatakrama,Agustus,Menghormati guru dan mubaligh-mubalighot
454,Pra Nikah 1,Adab/ Tatakrama,Juli,Menghormati yang lebih tua dan menyayangi yang muda
455,Pra Nikah 1,Materi Dasar Keagamaan,Agustus,Pengertian Qur’an Hadits Jama’ah
456,Pra Nikah 1,Materi Dasar Keagamaan,November,Pengetahuan hukum halal-haram
457,Pra Nikah 1,Materi Dasar Keagamaan,Oktober,Pengetahuan wajibnya taat dan haromnya maksiat
458,Pra Nikah 1,Akhlaq,Juli - Agustus,Pribadi
459,Pra Nikah 1,Materi Dasar Keagamaan,April,Puasa Romadlon
460,Pra Nikah 1,Materi Dasar Keagamaan,Mei,Puasa Sunnah
461,Pra Nikah 1,Materi Dasar Keagamaan,Juli,"Rukun iman, rukun islam dan ihsan"
462,Pra Nikah 1,Materi Dasar Keagamaan,Maret,"Sholat sunnah rowatib, dhuha, tahajjud, tasbih, hajat dan istikhoroh"
463,Pra Nikah 1,Adab/ Tatakrama,Juli,Ta'dhim dan berbuat baik kepada orang tua
464,Pra Nikah 1,Adab/ Tatakrama,April,Tata krama bersepeda
465,Pra Nikah 1,Adab/ Tatakrama,April,Tata krama ketika makan bersama
466,Pra Nikah 1,Adab/ Tatakrama,Mei,Tata krama mencari ilmu
467,Pra Nikah 1,Adab/ Tatakrama,Maret,Terhadap Kerabat
468,Pra Nikah 1,Adab/ Tatakrama,November,Terhadap Lingkungan Dan Alam Sekitar
469,Pra Nikah 1,Adab/ Tatakrama,Maret,Terhadap Tetangga
470,Pra Nikah 1,Adab/ Tatakrama,November,Terhadap Ulil Amri
471,Pra Nikah 1,Materi Dasar Keagamaan,Desember,Thaharah dan Sholat
472,Pra Nikah 1,Adab/ Tatakrama,Januari,Tidur
473,Pra Nikah 1,Akhlaq,November - Desember,"Ulil Amri, Guru, dan Mubaligh-Mubalighot"
474,Pra Nikah 2,Materi Dasar Keagamaan,Juni,Aurat
475,Pra Nikah 2,Adab/ Tatakrama,September,Bergaul dengan teman
476,Pra Nikah 2,Adab/ Tatakrama,Januari,Berpakaian
477,Pra Nikah 2,Adab/ Tatakrama,Desember,Bertamu/Diajak Bertamu Dan Kedatangan Tamu
478,Pra Nikah 2,Adab/ Tatakrama,Juni,Dalam bermasyarakat
479,Pra Nikah 2,Adab/ Tatakrama,Mei,Dalam kehidupan berumah tangga
480,Pra Nikah 2,Mandiri,Agustus,Dalam Keluarga
481,Pra Nikah 2,Mandiri,Februari,Dalam Keluarga
482,Pra Nikah 2,Adab/ Tatakrama,Juni,Dalam lingkungan kerja
483,Pra Nikah 2,Materi Dasar Keagamaan,Juli,Dasar Aqidah
484,Pra Nikah 2,Materi Dasar Keagamaan,Februari,"Hukum haid, mani, madzi dan wadhi"
485,Pra Nikah 2,Materi Dasar Keagamaan,Mei,Hukum Mahram
486,Pra Nikah 2,Materi Dasar Keagamaan,Agustus,"Ilmu Manqul, Musnad, Muttashil"
487,Pra Nikah 2,Tulis Huruf Arab,Juli - Oktober,Juz 4-5
488,Pra Nikah 2,Tulis Huruf Arab,Januari - Februari,Juz 5-6
489,Pra Nikah 2,Tulis Huruf Arab,Mei - Juni,K. Faroidh
490,Pra Nikah 2,Tulis Huruf Arab,Maret - April,K. Kanzil Umal (90 - 116)
491,Pra Nikah 2,Tulis Huruf Arab,November - Desember,K. Kanzil Ummal (1-90)
492,Pra Nikah 2,Materi Dasar Keagamaan,April,Kefadholan puasa dan hal-hal yang diperbolehkan serta membatalkan puasa
493,Pra Nikah 2,Akhlaq,September - Oktober,Keluarga
494,Pra Nikah 2,Mandiri,September,Kemandirian dalam keluarga
495,Pra Nikah 2,Mandiri,Maret,Kemandirian dalam keluarga
496,Pra Nikah 2,Mandiri,Juli,Kemandirian pribadi
497,Pra Nikah 2,Mandiri,Januari,Kemandirian pribadi
498,Pra Nikah 2,Materi Dasar Keagamaan,September,Kemurnian ibadah
499,Pra Nikah 2,Mandiri,Oktober,Keterampilan Generus Putra
500,Pra Nikah 2,Mandiri,April,Keterampilan Generus Putra
501,Pra Nikah 2,Mandiri,November - Desember,Keterampilan Generus Putri
502,Pra Nikah 2,Mandiri,Mei - Juni,Keterampilan Generus Putri
503,Pra Nikah 2,Adab/ Tatakrama,Februari,Ketika Bersin
504,Pra Nikah 2,Adab/ Tatakrama,Oktober,Ketika Di Masjid
505,Pra Nikah 2,Adab/ Tatakrama,Oktober,Ketika Di Tempat Pengajian Dan Sekolah
506,Pra Nikah 2,Adab/ Tatakrama,Februari,Ketika Menguap
507,Pra Nikah 2,Akhlaq,April - Juni,Lingkungan dan alam sekitar
508,Pra Nikah 2,Materi Dasar Keagamaan,Januari,Mandi Junub
509,Pra Nikah 2,Akhlaq,Januari - Maret,Masyarakat
510,Pra Nikah 2,Praktik Ibadah,Juli - September,Mempraktikan sholat hajat
511,Pra Nikah 2,Praktik Ibadah,Januari - Maret,Mempraktikan sholat hajat
512,Pra Nikah 2,Praktik Ibadah,Oktober - Desember,Mempraktikan sholat istikhoroh
513,Pra Nikah 2,Praktik Ibadah,April - Juni,Mempraktikan sholat istikhoroh
514,Pra Nikah 2,Hafalan Surat Al Qur'an,Juli - Desember,Menderes 1. Surah Al-Bayyinah 2. Surah Al-Qadr 3. Surah Al-'Alaq 4. Surah At-Tin 5. Surah Al-Insyirah 6. Surah Ad-Duha 7. Surah Al-Lail
515,Pra Nikah 2,Hafalan Surat Al Qur'an,Januari - Juni,Menderes 1. Surah Asy-Syams 2. Surah Al-Balad 3. Surah Al-Fajr 4. Surah Al-Gasyiyah
516,Pra Nikah 2,Baca Huruf Quran,Juli - Desember,Menderes Juz 23-24
517,Pra Nikah 2,Baca Huruf Quran,Januari - Juni,Menderes Juz 25-26
518,Pra Nikah 2,Hafalan Doa Harian,Juli - Juni,menerampilkan hafalan do'a pada jenjang sebelumnya
519,Pra Nikah 2,Adab/ Tatakrama,Agustus,Menghormati guru dan mubaligh-mubalighot
520,Pra Nikah 2,Adab/ Tatakrama,Juli,Menghormati yang lebih tua dan menyayangi yang muda
521,Pra Nikah 2,Materi Dasar Keagamaan,Agustus,Pengertian Qur’an Hadits Jama’ah
522,Pra Nikah 2,Materi Dasar Keagamaan,November,Pengetahuan hukum halal-haram
523,Pra Nikah 2,Materi Dasar Keagamaan,Oktober,Pengetahuan wajibnya taat dan haromnya maksiat
524,Pra Nikah 2,Akhlaq,Juli - Agustus,Pribadi
525,Pra Nikah 2,Materi Dasar Keagamaan,April,Puasa Romadlon
526,Pra Nikah 2,Materi Dasar Keagamaan,Mei,Puasa Sunnah
527,Pra Nikah 2,Materi Dasar Keagamaan,Juli,"Rukun iman, rukun islam dan ihsan"
528,Pra Nikah 2,Materi Dasar Keagamaan,Maret,"Sholat sunnah rowatib, dhuha, tahajjud, tasbih, hajat dan istikhoroh"
529,Pra Nikah 2,Adab/ Tatakrama,Juli,Ta'dhim dan berbuat baik kepada orang tua
530,Pra Nikah 2,Adab/ Tatakrama,April,Tata krama bersepeda
531,Pra Nikah 2,Adab/ Tatakrama,April,Tata krama ketika makan bersama
532,Pra Nikah 2,Adab/ Tatakrama,Mei,Tata krama mencari ilmu
533,Pra Nikah 2,Adab/ Tatakrama,Maret,Terhadap Kerabat
534,Pra Nikah 2,Adab/ Tatakrama,November,Terhadap Lingkungan Dan Alam Sekitar
535,Pra Nikah 2,Adab/ Tatakrama,Maret,Terhadap Tetangga
536,Pra Nikah 2,Adab/ Tatakrama,November,Terhadap Ulil Amri
537,Pra Nikah 2,Materi Dasar Keagamaan,Desember,Thaharah dan Sholat
538,Pra Nikah 2,Adab/ Tatakrama,Januari,Tidur
539,Pra Nikah 2,Akhlaq,November - Desember,"Ulil Amri, Guru, dan Mubaligh-Mubalighot"
540,Pra Nikah 3,Materi Dasar Keagamaan,Juni,Aurat
541,Pra Nikah 3,Adab/ Tatakrama,September,Bergaul dengan teman
542,Pra Nikah 3,Adab/ Tatakrama,Januari,Berpakaian
543,Pra Nikah 3,Adab/ Tatakrama,Desember,Bertamu/Diajak Bertamu Dan Kedatangan Tamu
544,Pra Nikah 3,Adab/ Tatakrama,Juni,Dalam bermasyarakat
545,Pra Nikah 3,Adab/ Tatakrama,Mei,Dalam kehidupan berumah tangga
546,Pra Nikah 3,Mandiri,Agustus,Dalam Keluarga
547,Pra Nikah 3,Mandiri,Februari,Dalam Keluarga
548,Pra Nikah 3,Adab/ Tatakrama,Juni,Dalam lingkungan kerja
549,Pra Nikah 3,Materi Dasar Keagamaan,Juli,Dasar Aqidah
550,Pra Nikah 3,Materi Dasar Keagamaan,Februari,"Hukum haid, mani, madzi dan wadhi"
551,Pra Nikah 3,Materi Dasar Keagamaan,Mei,Hukum Mahram
552,Pra Nikah 3,Materi Dasar Keagamaan,Agustus,"Ilmu Manqul, Musnad, Muttashil"
553,Pra Nikah 3,Materi Dasar Keagamaan,April,Kefadholan puasa dan hal-hal yang diperbolehkan serta membatalkan puasa
554,Pra Nikah 3,Akhlaq,September - Oktober,Keluarga
555,Pra Nikah 3,Mandiri,September,Kemandirian dalam keluarga
556,Pra Nikah 3,Mandiri,Maret,Kemandirian dalam keluarga
557,Pra Nikah 3,Mandiri,Juli,Kemandirian pribadi
558,Pra Nikah 3,Mandiri,Januari,Kemandirian pribadi
559,Pra Nikah 3,Materi Dasar Keagamaan,September,Kemurnian ibadah
560,Pra Nikah 3,Mandiri,Oktober,Keterampilan Generus Putra
561,Pra Nikah 3,Mandiri,April,Keterampilan Generus Putra
562,Pra Nikah 3,Mandiri,November - Desember,Keterampilan Generus Putri
563,Pra Nikah 3,Mandiri,Mei - Juni,Keterampilan Generus Putri
564,Pra Nikah 3,Adab/ Tatakrama,Februari,Ketika Bersin
565,Pra Nikah 3,Adab/ Tatakrama,Oktober,Ketika Di Masjid
566,Pra Nikah 3,Adab/ Tatakrama,Oktober,Ketika Di Tempat Pengajian Dan Sekolah
567,Pra Nikah 3,Adab/ Tatakrama,Februari,Ketika Menguap
568,Pra Nikah 3,Akhlaq,April - Juni,Lingkungan dan alam sekitar
569,Pra Nikah 3,Materi Dasar Keagamaan,Januari,Mandi Junub
570,Pra Nikah 3,Akhlaq,Januari - Maret,Masyarakat
571,Pra Nikah 3,Praktik Ibadah,Juli - September,Mempraktikan sholat hajat
572,Pra Nikah 3,Praktik Ibadah,Januari - Maret,Mempraktikan sholat hajat
573,Pra Nikah 3,Praktik Ibadah,Oktober - Desember,Mempraktikan sholat istikhoroh
574,Pra Nikah 3,Praktik Ibadah,April - Juni,Mempraktikan sholat istikhoroh
575,Pra Nikah 3,Baca Huruf Quran,Juli - Desember,Menderes jus 27 - 28
576,Pra Nikah 3,Baca Huruf Quran,Januari - Juni,Menderes Juz 29 – 30
577,Pra Nikah 3,Hafalan Surat Al Qur'an,Juli - Desember,Menderes: 1. Surah Al-A’la 2. Surah At-Tariq 3. Surah Al-Buruj 4. Surah Al-Insyiqaq
578,Pra Nikah 3,Hafalan Surat Al Qur'an,Januari - Juni,Menderes: 1. Surah Al-Tatfif 2. Surah Al-Infitar
579,Pra Nikah 3,Hafalan Doa Harian,Juli - Juni,menerampilkan hafalan do'a pada jenjang sebelumnya
580,Pra Nikah 3,Adab/ Tatakrama,Agustus,Menghormati guru dan mubaligh-mubalighot
581,Pra Nikah 3,Adab/ Tatakrama,Juli,Menghormati yang lebih tua dan menyayangi yang muda
582,Pra Nikah 3,Materi Dasar Keagamaan,Agustus,Pengertian Qur’an Hadits Jama’ah
583,Pra Nikah 3,Materi Dasar Keagamaan,November,Pengetahuan hukum halal-haram
584,Pra Nikah 3,Materi Dasar Keagamaan,Oktober,Pengetahuan wajibnya taat dan haromnya maksiat
585,Pra Nikah 3,Akhlaq,Juli - Agustus,Pribadi
586,Pra Nikah 3,Materi Dasar Keagamaan,April,Puasa Romadlon
587,Pra Nikah 3,Materi Dasar Keagamaan,Mei,Puasa Sunnah
588,Pra Nikah 3,Materi Dasar Keagamaan,Juli,"Rukun iman, rukun islam dan ihsan"
589,Pra Nikah 3,Materi Dasar Keagamaan,Maret,"Sholat sunnah rowatib, dhuha, tahajjud, tasbih, hajat dan istikhoroh"
590,Pra Nikah 3,Tulis Huruf Arab,Juli - Desember,Sunan Ibnu Majjah 1
591,Pra Nikah 3,Tulis Huruf Arab,Januari - Juni,Sunan Ibnu Majjah 2
592,Pra Nikah 3,Adab/ Tatakrama,Juli,Ta'dhim dan berbuat baik kepada orang tua
593,Pra Nikah 3,Adab/ Tatakrama,April,Tata krama bersepeda
594,Pra Nikah 3,Adab/ Tatakrama,April,Tata krama ketika makan bersama
595,Pra Nikah 3,Adab/ Tatakrama,Mei,Tata krama mencari ilmu
596,Pra Nikah 3,Adab/ Tatakrama,Maret,Terhadap Kerabat
597,Pra Nikah 3,Adab/ Tatakrama,November,Terhadap Lingkungan Dan Alam Sekitar
598,Pra Nikah 3,Adab/ Tatakrama,Maret,Terhadap Tetangga
599,Pra Nikah 3,Adab/ Tatakrama,November,Terhadap Ulil Amri
600,Pra Nikah 3,Materi Dasar Keagamaan,Desember,Thaharah dan Sholat
601,Pra Nikah 3,Adab/ Tatakrama,Januari,Tidur
602,Pra Nikah 3,Akhlaq,November - Desember,"Ulil Amri, Guru, dan Mubaligh-Mubalighot"
603,Pra Nikah 4,Materi Dasar Keagamaan,Juni,Aurat
604,Pra Nikah 4,Adab/ Tatakrama,September,Bergaul dengan teman
605,Pra Nikah 4,Adab/ Tatakrama,Januari,Berpakaian
606,Pra Nikah 4,Adab/ Tatakrama,Desember,Bertamu/Diajak Bertamu Dan Kedatangan Tamu
607,Pra Nikah 4,Adab/ Tatakrama,Juni,Dalam bermasyarakat
608,Pra Nikah 4,Adab/ Tatakrama,Mei,Dalam kehidupan berumah tangga
609,Pra Nikah 4,Mandiri,Agustus,Dalam Keluarga
610,Pra Nikah 4,Mandiri,Februari,Dalam Keluarga
611,Pra Nikah 4,Adab/ Tatakrama,Juni,Dalam lingkungan kerja
612,Pra Nikah 4,Materi Dasar Keagamaan,Juli,Dasar Aqidah
613,Pra Nikah 4,Materi Dasar Keagamaan,Februari,"Hukum haid, mani, madzi dan wadhi"
614,Pra Nikah 4,Materi Dasar Keagamaan,Mei,Hukum Mahram
615,Pra Nikah 4,Materi Dasar Keagamaan,Agustus,"Ilmu Manqul, Musnad, Muttashil"
616,Pra Nikah 4,Materi Dasar Keagamaan,April,Kefadholan puasa dan hal-hal yang diperbolehkan serta membatalkan puasa
617,Pra Nikah 4,Akhlaq,September - Oktober,Keluarga
618,Pra Nikah 4,Mandiri,September,Kemandirian dalam keluarga
619,Pra Nikah 4,Mandiri,Maret,Kemandirian dalam keluarga
620,Pra Nikah 4,Mandiri,Juli,Kemandirian pribadi
621,Pra Nikah 4,Mandiri,Januari,Kemandirian pribadi
622,Pra Nikah 4,Materi Dasar Keagamaan,September,Kemurnian ibadah
623,Pra Nikah 4,Mandiri,Oktober,Keterampilan Generus Putra
624,Pra Nikah 4,Mandiri,April,Keterampilan Generus Putra
625,Pra Nikah 4,Mandiri,November - Desember,Keterampilan Generus Putri
626,Pra Nikah 4,Mandiri,Mei - Juni,Keterampilan Generus Putri
627,Pra Nikah 4,Adab/ Tatakrama,Februari,Ketika Bersin
628,Pra Nikah 4,Adab/ Tatakrama,Oktober,Ketika Di Masjid
629,Pra Nikah 4,Adab/ Tatakrama,Oktober,Ketika Di Tempat Pengajian Dan Sekolah
630,Pra Nikah 4,Adab/ Tatakrama,Februari,Ketika Menguap
631,Pra Nikah 4,Akhlaq,April - Juni,Lingkungan dan alam sekitar
632,Pra Nikah 4,Materi Dasar Keagamaan,Januari,Mandi Junub
633,Pra Nikah 4,Akhlaq,Januari - Maret,Masyarakat
634,Pra Nikah 4,Praktik Ibadah,Juli - September,Mempraktikan sholat hajat
635,Pra Nikah 4,Praktik Ibadah,Januari - Maret,Mempraktikan sholat hajat
636,Pra Nikah 4,Praktik Ibadah,Oktober - Desember,Mempraktikan sholat istikhoroh
637,Pra Nikah 4,Praktik Ibadah,April - Juni,Mempraktikan sholat istikhoroh
638,Pra Nikah 4,Baca Huruf Quran,Juli - Desember,Menderes juz 1 – 2
639,Pra Nikah 4,Baca Huruf Quran,Januari - Juni,Menderes juz 3 - 4
640,Pra Nikah 4,Hafalan Surat Al Qur'an,Januari - Juni,Menderes: 1. Surah An-Nazi’at 2. Surah An-Naba’
641,Pra Nikah 4,Hafalan Surat Al Qur'an,Juli - Desember,Menderes: 1. Surah At-Takwir 2. Surah 'Abasa
642,Pra Nikah 4,Hafalan Doa Harian,Juli - Juni,menerampilkan hafalan do'a pada jenjang sebelumnya
643,Pra Nikah 4,Adab/ Tatakrama,Agustus,Menghormati guru dan mubaligh-mubalighot
644,Pra Nikah 4,Adab/ Tatakrama,Juli,Menghormati yang lebih tua dan menyayangi yang muda
645,Pra Nikah 4,Materi Dasar Keagamaan,Agustus,Pengertian Qur’an Hadits Jama’ah
646,Pra Nikah 4,Materi Dasar Keagamaan,November,Pengetahuan hukum halal-haram
647,Pra Nikah 4,Materi Dasar Keagamaan,Oktober,Pengetahuan wajibnya taat dan haromnya maksiat
648,Pra Nikah 4,Akhlaq,Juli - Agustus,Pribadi
649,Pra Nikah 4,Materi Dasar Keagamaan,April,Puasa Romadlon
650,Pra Nikah 4,Materi Dasar Keagamaan,Mei,Puasa Sunnah
651,Pra Nikah 4,Materi Dasar Keagamaan,Juli,"Rukun iman, rukun islam dan ihsan"
652,Pra Nikah 4,Materi Dasar Keagamaan,Maret,"Sholat sunnah rowatib, dhuha, tahajjud, tasbih, hajat dan istikhoroh"
653,Pra Nikah 4,Tulis Huruf Arab,Juli - Desember,Sunan Ibnu Majjah 3
654,Pra Nikah 4,Tulis Huruf Arab,Januari - Juni,Sunan Ibnu Majjah 4
655,Pra Nikah 4,Adab/ Tatakrama,Juli,Ta'dhim dan berbuat baik kepada orang tua
656,Pra Nikah 4,Adab/ Tatakrama,April,Tata krama bersepeda
657,Pra Nikah 4,Adab/ Tatakrama,April,Tata krama ketika makan bersama
658,Pra Nikah 4,Adab/ Tatakrama,Mei,Tata krama mencari ilmu
659,Pra Nikah 4,Adab/ Tatakrama,Maret,Terhadap Kerabat
660,Pra Nikah 4,Adab/ Tatakrama,November,Terhadap Lingkungan Dan Alam Sekitar
661,Pra Nikah 4,Adab/ Tatakrama,Maret,Terhadap Tetangga
662,Pra Nikah 4,Adab/ Tatakrama,November,Terhadap Ulil Amri
663,Pra Nikah 4,Materi Dasar Keagamaan,Desember,Thaharah dan Sholat
664,Pra Nikah 4,Adab/ Tatakrama,Januari,Tidur
665,Pra Nikah 4,Akhlaq,November - Desember,"Ulil Amri, Guru, dan Mubaligh-Mubalighot"
