No,kelas,kategori,target_bulan,materi
81,SMP 2,Hafalan Surat Al Qur'an,November - Desember,Dalil 5 Syarat Kerukunan
82,SMP 2,Materi Dasar Keagamaan,Juli,Dasar Aqidah
83,SMP 2,Materi Dasar Keagamaan,Mei,"hukum haid, mani, madzi, wadhi"
84,SMP 2,Baca Huruf Quran,Juli,Hukum Mad
85,SMP 2,Materi Dasar Keagamaan,April,hukum mahrom
86,SMP 2,Baca Huruf Quran,Februari,Hukum Qolqolah
87,SMP 2,Baca Huruf Quran,Januari,Hukum Ro'
88,SMP 2,Materi Dasar Keagamaan,November,"ilmu manqul, musnad, muttashil"
89,SMP 2,Tulis Huruf Arab,Januari - Maret,Juz 26
90,SMP 2,Tulis Huruf Arab,April - Juni,K. Da'wat
91,SMP 2,Tulis Huruf Arab,November - Desember,K. Sholatinnawafil
92,SMP 2,Materi Dasar Keagamaan,Maret,"Kefadholan puasa,dan yang di perbolehkan saat puasa"
93,SMP 2,Akhlaq,September - Oktober,Keluarga
94,SMP 2,Mandiri,September - Oktober,Kemandirian dalam keluarga
95,SMP 2,Mandiri,November - Desember,Kemandirian dalam lingkungan jamaah dan sekolah
96,SMP 2,Mandiri,Juli - Agustus,Kemandirian pribadi
97,SMP 2,Materi Dasar Keagamaan,September,Kemurnian ibadah
98,SMP 2,Mandiri,Januari - Maret,Keterampilan Generus Putra
99,SMP 2,Mandiri,April - Juni,Keterampilan Generus Putri
100,SMP 2,Akhlaq,April - Juni,Lingkungan dan alam sekitar
101,SMP 2,Tulis Huruf Arab,Juli - Agustus,Makna Juz 24
102,SMP 2,Tulis Huruf Arab,September - Oktober,Makna Juz 25
103,SMP 2,Materi Dasar Keagamaan,Desember,mandi junub
104,SMP 2,Akhlaq,Januari - Maret,Masyarakat
105,SMP 2,Hafalan Doa Harian,Juli - Juni,menerampilkan hafalan do'a pada jenjang sebelumnya
106,SMP 2,Adab/ Tatakrama,Agustus,Menghormati guru dan mubaligh-mubalighot
107,SMP 2,Adab/ Tatakrama,Juli,Menghormati yang lebih tua dan menyayangi yang muda
108,SMP 2,Materi Dasar Keagamaan,Januari,Pengertian Qu'an Hadis Jama'ah
